CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"16,567","5,203","25,688",10.32,5.10,0.40,100,5.10,5.15,"7,950","18,800.00",50,447.25,450.00,650,-21.05,453.05,13.12,125,51,126,
,"6,631","5,385","10,319",10.92,4.50,0.75,50,4.50,4.55,"4,650","18,850.00",100,496.15,499.85,100,-501.15,501.65,13.87,4,2,2,
,"12,691","3,782","16,510",11.41,3.80,0.60,"6,300",3.70,3.80,"7,700","18,900.00",550,546.00,549.00,550,8.40,579.05,20.35,3,-,8,
,"1,322",745,"3,582",12.01,3.35,0.70,"3,300",3.30,3.35,50,"18,950.00",450,585.00,599.20,150,-486.60,599.30,15.32,5,-,-,
,"24,814","10,954","31,299",12.65,3.10,0.70,500,3.05,3.10,"8,400","19,000.00",250,644.45,648.05,50,-11.80,653.45,17.49,155,52,137,
,631,-17,"2,082",13.21,2.75,0.60,900,2.75,2.80,"4,800","19,050.00",450,685.65,699.50,100,-32.05,697.65,16.77,2,-,-,
,"2,105",749,"4,139",13.80,2.50,0.55,550,2.45,2.50,650,"19,100.00","5,950",729.70,755.70,300,-,-,-,-,-,-,
,601,258,"1,070",14.35,2.25,0.40,100,2.25,2.30,850,"19,150.00",100,788.15,815.30,"4,800",-32.35,804.90,20.96,3,-,129,
,"4,811","3,024","7,559",14.96,2.05,0.30,"7,000",2.00,2.10,"7,500","19,200.00",250,842.25,863.80,250,-,-,-,-,-,-,
,204,40,274,15.60,2.00,0.20,"2,000",2.00,2.05,100,"19,250.00",100,879.15,927.80,150,-25.65,902.95,22.39,2,-,2,
,"2,633",940,"2,990",16.27,2.00,0.15,"3,700",1.95,2.00,"7,250","19,300.00",250,927.40,982.75,"4,350",-,-,-,-,-,-,
,181,17,179,16.88,1.90,0.25,100,1.85,1.95,550,"19,350.00",150,994.35,"1,032.75","3,250",-,-,-,-,-,2,
,868,-190,"1,159",17.47,1.80,0.20,100,1.80,1.85,"3,500","19,400.00",250,"1,039.50","1,077.50",250,-,-,-,-,-,2,
,100,37,110,18.18,1.80,0.20,200,1.75,1.80,50,"19,450.00",150,"1,082.20","1,114.90",150,-,-,-,-,-,-,
,"4,258","1,383","4,581",18.74,1.75,0.25,"3,750",1.70,1.75,"7,150","19,500.00",200,"1,131.50","1,154.55",850,-17.45,"1,147.55",25.13,7,2,3,
,180,25,254,19.36,1.70,0.20,"1,250",1.65,1.70,100,"19,550.00","1,500","1,159.95","1,205.55","1,050",-,-,-,-,-,-,
,326,62,230,20.12,1.70,0.20,100,1.65,1.70,"2,050","19,600.00","1,500","1,209.85","1,248.70",450,-,-,-,-,-,-,
,131,1,37,20.56,1.55,-0.10,50,1.50,1.60,50,"19,650.00","1,500","1,259.70","1,298.85",150,-,-,-,-,-,-,
,479,126,316,21.23,1.60,0.20,"2,100",1.55,1.65,"3,150","19,700.00",450,"1,322.40","1,374.80",150,-,-,-,-,-,-,
,"1,824",641,"1,229",21.90,1.55,0.20,"2,400",1.50,1.55,"2,500","19,750.00",100,"1,374.30","1,431.55",150,-409.30,"1,404.50",32.38,2,-,-,
,279,-,279,22.65,1.60,-12.90,"2,400",1.55,1.60,"2,400","19,800.00",450,"1,415.75","1,481.20",450,-,-,-,-,-,-,
